"eu_rnpa","economic_unit","vessel_rnpa","vessel_name","owner_rnpa","owner_name","hull_identifier","target_species","finfish","sardine","shark","shrimp","tuna","others","state","home_port","construction_year","hull_material","preservation_system","gear_type","detection_gear","vessel_type","vessel_length_m","vessel_beam_m","vessel_height_m","vessel_draft_m","vessel_gross_tonnage","captain_num","engineer_num","s_fisher_num","fisher_num","sfc_gr_kwh","engine_power_hp","engine_power_kw","imputed_engine_power","engine_power_bin_hp","design_speed_kt","brand","model","fuel_type","fleet"
"0312003155","NAHIM FRANCISCO ACEVES MENDIZABAL","00049050","ROELA","0312003155","NAHIM FRANCISCO ACEVES MENDIZABAL","3042289209","OTRAS",0,0,0,0,0,1,"BAJA CALIFORNIA SUR","LA PAZ",1981,"FIBRA DE VIDRIO","HIELO","OTRO","VIDEOSONDA","COMERCIAL",14.39,4.35,1.74,1.5,17,1,1,0,4,220,350,260.995,FALSE,350,10.7923786806597,"MAN","1981","Diesel","large scale"
"0203014204","KIMA CORPORATION SA DE CV","00047701","ALEXA","0203014204","KIMA CORPORATION SA DE CV","2012587236","OTRAS",0,0,0,0,0,1,"BAJA CALIFORNIA","ENSENADA",1992,"ACERO","REFRIGERACIÓN","OTRO","VIDEOSONDA","COMERCIAL",17.44,5.36,2.9,0,23,1,1,0,6,220,365,272.1805,FALSE,365,10.8055722873817,"CATERPILLAR","3406","Diesel","large scale"
"2508006778","PESQUERA JUSAJELI, SA DE CV","00056085","DON AGUSTIN IX","2508006778","PESQUERA JUSAJELI, SA DE CV","25031963231","CAMARÓN | TIBURÓN | OTRAS",0,0,1,1,0,0,"SINALOA","MAZATLAN",1975,"ACERO","REFRIGERACIÓN","PESCA MULTIPLE","VIDEOSONDA","COMERCIAL",24.8,7,3.4,2,64,1,1,2,2,180,540,402.678,FALSE,525,10.9587877089223,"CATERPILLAR","3412C","Diesel","large scale"
"2508005382","PESCA INDUSTRIAL MAROS, SA DE CV","00050500","AGUILA I","2508005382","PESCA INDUSTRIAL MAROS, SA DE CV","2601058823-8","CAMARÓN",0,0,0,1,0,0,"SINALOA","PUERTO PEÑASCO",1999,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",26.67,6.8,3.66,0,55,1,1,4,2,180,671,500.3647,FALSE,650,11.0726244359702,"CATERPILLAR","3412","Diesel","large scale"
"2508005382","PESCA INDUSTRIAL MAROS, SA DE CV","00050492","LEON I","2508005382","PESCA INDUSTRIAL MAROS, SA DE CV","2601058923-8","CAMARÓN",0,0,0,1,0,0,"SINALOA","PUERTO PEÑASCO",1999,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",26.67,6.8,3.66,0,55,1,1,4,2,180,671,500.3647,FALSE,650,11.0726244359702,"CATERPILLAR","3412","Diesel","large scale"
"2607003130","JOSE L MONTIJO DOMINGUEZ","00043646","BORRASCOSO II","2607003130","JOSE L MONTIJO DOMINGUEZ","26010733232","CAMARÓN | ESCAMA",1,0,0,1,0,0,"SONORA","PUERTO PEÑASCO",1987,"ACERO","HIELO | REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",21.23,6.27,3.3,2,17,1,1,0,1,220,540,402.678,FALSE,525,10.9587877089223,"CUMMINS","KTA-19MS","Diesel","large scale"
"2604005542","INSTITUTO NACIONAL DE PESCA","00049635","BIP XI","2604005542","INSTITUTO NACIONAL DE PESCA","26022973258","OTRAS",0,0,0,0,0,1,"SINALOA","MAZATLAN",1980,"ACERO","HIELO","CERCO","VIDEOSONDA","INVESTIGACION",19.9,7.29,3.72,4,0,1,1,0,3,220,500,372.85,FALSE,500,10.9238823478233,"CATERPILLAR","0","Diesel","large scale"
"3105008274","FRANCISCO  MIGUEL  RAVELO  MARTINEZ","00026690","ELENA","3105008274","FRANCISCO  MIGUEL  RAVELO  MARTINEZ","31011241232","ESCAMA",1,0,0,0,0,0,"YUCATAN","PROGRESO",1988,"MADERA","HIELO","PALANGRE","VIDEOSONDA","COMERCIAL",11.95,3.41,1.1,1,30,1,1,1,0,240,110,82.027,FALSE,110,10.5799741640481,"GENERAL MOTORS","S/M","Diesel","large scale"
"2508004906","SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA DE ALTURA CASTILLOS DE CORAL, SC DE RL DE CV","00011031","SABALO","2508004906","SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA DE ALTURA CASTILLOS DE CORAL, SC DE RL DE CV","25030314231","CAMARÓN",0,0,0,1,0,0,"SINALOA","MAZATLAN",1958,"ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL",18.2,5.13,1.94,0,0,1,1,1,3,220,150,111.855,FALSE,150,10.6155457415303,"CATERPILLAR","D343","Diesel","large scale"
"2508008501","PESQUERA ZULEMA, SA DE CV","00018416","LA NIÑA","2508008501","PESQUERA ZULEMA, SA DE CV","25030586238","CAMARÓN",0,0,0,1,0,0,"SINALOA","MAZATLAN",1977,"ACERO","CONGELACIÓN | SALMUERA","ARRASTRE","VIDEOSONDA","COMERCIAL",21.94,6.1,3.36,0,40.12,1,2,0,5,220,402,299.7714,FALSE,402,10.8380754339523,"CATERPILLAR","D-3408","Diesel","large scale"
